host_type,host_since,host_response_time,host_response_rate,host_is_superhost,host_total_listings_count,host_identity_verified,neighbourhood,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,calculated_host_listings_count,reviews_per_month,price
male,2015-03-03,within a few hours,90%,f,2.0,f,West Austin,House,Entire home/apt,6,2.5,3.0,6.0,Real Bed,$0.00,2,1125,0,0,0,0,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,2,0.06,600
female,2015-03-03,within an hour,100%,f,2.0,t,Hancock,Apartment,Entire home/apt,2,1.0,0.0,1.0,Futon,$75.00,2,4,13,29,53,328,154,93.0,9.0,9.0,10.0,10.0,9.0,9.0,f,strict_14_with_grace_period,2,3.19,90
mostly_male,2015-03-03,within a day,100%,f,2.0,f,Windsor Park,Apartment,Entire home/apt,5,2.0,2.0,2.0,Real Bed,$20.00,2,1125,24,54,84,84,14,88.0,9.0,8.0,9.0,10.0,8.0,8.0,f,moderate,1,0.29,90
female,2013-10-03,,,f,1.0,f,East Downtown,House,Entire home/apt,5,1.0,2.0,2.0,Real Bed,$25.00,2,1125,0,0,0,0,7,97.0,10.0,10.0,10.0,10.0,9.0,10.0,f,strict_14_with_grace_period,1,0.15,200
mostly_male,2015-01-26,within a day,100%,t,2.0,t,Brentwood,House,Entire home/apt,4,1.5,2.0,2.0,Real Bed,$0.00,4,1125,25,55,85,360,1,80.0,8.0,6.0,10.0,10.0,8.0,10.0,f,strict_14_with_grace_period,2,0.03,225
mostly_female,2013-05-01,within an hour,100%,t,3.0,t,East Downtown,House,Entire home/apt,9,2.5,4.0,6.0,Real Bed,$150.00,2,1125,17,38,63,331,136,99.0,10.0,10.0,10.0,10.0,10.0,9.0,t,strict_14_with_grace_period,2,2.8,550
male,2015-03-03,,,f,1.0,t,East Downtown,House,Private room,2,1.0,1.0,1.0,Real Bed,$0.00,1,1125,0,0,0,0,0,,,,,,,,f,flexible,1,,150
male,2015-03-03,,,f,1.0,t,Zilker,House,Private room,2,1.5,1.0,1.0,Real Bed,$0.00,1,1125,0,0,0,0,0,,,,,,,,f,strict_14_with_grace_period,1,,150
male,2014-12-17,,,f,1.0,t,,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,$20.00,3,6,0,0,0,0,0,,,,,,,,f,moderate,1,,350
male,2011-10-18,within an hour,100%,f,1.0,t,MLK & 183,House,Entire home/apt,7,2.0,2.0,4.0,Real Bed,$25.00,7,62,1,1,1,1,16,97.0,10.0,9.0,10.0,10.0,9.0,10.0,f,moderate,1,0.33,175
male,2015-03-03,within an hour,100%,f,1.0,t,Zilker,House,Entire home/apt,3,1.0,2.0,3.0,Real Bed,$75.00,2,1125,17,39,60,150,29,89.0,9.0,8.0,10.0,10.0,10.0,9.0,f,moderate,1,0.7,155
female,2013-09-29,within an hour,100%,t,2.0,t,Zilker,Bungalow,Entire home/apt,6,2.5,3.0,4.0,Real Bed,$0.00,3,12,25,55,85,85,5,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,2,0.1,615
female,2015-01-31,,,f,1.0,f,University of Texas,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,$0.00,3,1125,0,0,0,0,0,,,,,,,,f,flexible,1,,300
couple,2014-11-09,within a day,100%,t,1.0,f,South Manchaca,Guesthouse,Entire home/apt,2,1.0,1.0,1.0,Real Bed,$0.00,2,15,0,6,36,36,55,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,1,1.14,120
female,2015-03-04,within an hour,100%,t,2.0,t,East Downtown,Bungalow,Entire home/apt,6,1.0,2.0,6.0,Real Bed,$0.00,2,1125,8,14,28,269,205,97.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,2,4.25,110
female,2014-03-23,,,f,1.0,f,University of Texas,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,$0.00,1,1125,0,0,0,0,0,,,,,,,,f,flexible,1,,300
female,2015-03-04,,,f,1.0,f,Travis Heights,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,$0.00,1,1125,0,0,0,0,0,,,,,,,,f,flexible,1,,500
couple,2014-07-25,within an hour,100%,f,2.0,f,,House,Private room,4,1.0,1.0,2.0,Real Bed,$25.00,1,1125,22,52,82,98,137,96.0,9.0,9.0,10.0,9.0,10.0,9.0,f,flexible,2,2.83,30
male,2015-02-16,a few days or more,0%,f,1.0,f,Govalle,House,Entire home/apt,6,1.0,1.0,4.0,Real Bed,$0.00,3,1125,24,54,84,359,0,,,,,,,,f,strict_14_with_grace_period,1,,300
male,2013-05-20,,,f,2.0,t,Rosewood,House,Entire home/apt,5,2.0,2.0,2.0,Real Bed,$0.00,2,1125,0,0,0,0,0,,,,,,,,f,flexible,2,,300
male,2015-03-04,,,f,1.0,t,South Congress,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,$0.00,1,1125,0,0,0,0,1,100.0,10.0,8.0,10.0,10.0,10.0,10.0,f,flexible,1,0.02,300
male,2015-03-04,,,f,1.0,t,Pleasant Valley,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,$0.00,1,1125,30,60,90,365,0,,,,,,,,f,flexible,1,,150
unknown,2015-03-04,a few days or more,0%,f,1.0,t,MLK & 183,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,$20.00,2,9,27,57,87,362,13,90.0,9.0,10.0,10.0,9.0,8.0,9.0,f,moderate,1,0.27,500
male,2014-09-26,within a few hours,100%,f,3.0,t,Zilker,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,$75.00,2,30,15,33,60,126,10,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,2,0.21,160
male,2013-10-17,,,f,1.0,f,Hancock,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,$0.00,1,1125,0,0,0,0,0,,,,,,,,f,flexible,1,,200
male,2014-12-10,,,f,1.0,f,Oak Hill,House,Private room,2,1.0,1.0,1.0,Real Bed,$0.00,2,10,0,0,0,0,0,,,,,,,,f,moderate,1,,50
male,2013-03-01,,,f,1.0,f,Rosewood,House,Entire home/apt,7,1.0,2.0,2.0,Real Bed,$0.00,3,1125,0,0,0,0,3,100.0,10.0,10.0,10.0,10.0,10.0,10.0,t,moderate,1,0.07,600
mostly_male,2015-03-04,,,f,1.0,f,Barton Hills,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,$0.00,1,1125,0,0,0,0,0,,,,,,,,f,flexible,1,,250
male,2014-10-16,,,f,1.0,t,East Downtown,Loft,Entire home/apt,7,2.0,3.0,3.0,Real Bed,$150.00,3,1125,0,0,0,0,4,87.0,7.0,10.0,10.0,10.0,9.0,7.0,f,moderate,1,0.08,650
female,2015-03-04,,,f,1.0,t,Brentwood,Apartment,Entire home/apt,7,1.0,2.0,3.0,Real Bed,$0.00,1,1125,0,0,0,0,3,100.0,10.0,10.0,9.0,9.0,8.0,9.0,f,moderate,1,0.06,350
female,2014-12-24,,,f,4.0,t,Allendale,House,Entire home/apt,8,2.0,2.0,4.0,Real Bed,$50.00,3,28,29,59,89,89,5,96.0,10.0,10.0,10.0,10.0,10.0,9.0,f,strict_14_with_grace_period,1,0.11,330
male,2015-01-12,,,f,2.0,t,East Downtown,House,Private room,8,1.5,2.0,6.0,Real Bed,$20.00,1,1125,0,0,0,0,7,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,flexible,2,0.2,150
male,2013-01-09,,,f,1.0,f,West Austin,Apartment,Entire home/apt,6,2.0,3.0,4.0,Real Bed,$25.00,1,1125,0,0,0,0,0,,,,,,,,f,strict_14_with_grace_period,1,,1200
female,2015-02-09,within an hour,100%,t,2.0,t,Westlake Hills,House,Private room,2,1.0,1.0,1.0,Real Bed,$0.00,2,1125,17,42,72,112,128,99.0,10.0,10.0,10.0,10.0,10.0,10.0,t,moderate,2,2.77,130
female,2013-10-04,within an hour,100%,t,2.0,t,,Townhouse,Private room,2,1.0,1.0,1.0,Real Bed,$10.00,1,1125,18,48,78,353,109,99.0,10.0,10.0,10.0,10.0,9.0,10.0,f,strict_14_with_grace_period,2,3.57,65
male,2015-03-05,,,f,2.0,f,Hancock,House,Private room,2,1.0,1.0,1.0,Real Bed,$0.00,1,1125,0,0,0,0,1,80.0,10.0,8.0,10.0,10.0,10.0,10.0,f,flexible,1,0.02,75
female,2011-09-09,,,f,1.0,t,Windsor Park,House,Private room,1,1.0,1.0,1.0,Real Bed,$15.00,1,7,28,58,88,88,1,100.0,10.0,10.0,10.0,10.0,6.0,8.0,f,strict_14_with_grace_period,1,0.02,100
male,2015-03-05,within an hour,100%,t,1.0,f,South Congress,House,Entire home/apt,2,2.0,1.0,1.0,Real Bed,$100.00,2,1125,16,31,57,273,141,99.0,10.0,10.0,10.0,10.0,10.0,10.0,t,moderate,1,2.91,250
female,2012-02-01,within a day,100%,f,2.0,t,SW Williamson Co.,House,Private room,2,1.0,1.0,1.0,Real Bed,$25.00,2,1125,24,54,84,359,0,,,,,,,,f,moderate,2,,50
mostly_female,2014-02-07,,,f,1.0,t,Galindo,Townhouse,Entire home/apt,6,2.5,3.0,3.0,Real Bed,$0.00,7,14,0,0,0,0,0,,,,,,,,f,flexible,1,,850
mostly_female,2015-03-04,,,f,1.0,f,Barton Hills,House,Entire home/apt,8,3.0,4.0,5.0,Real Bed,$0.00,4,23,0,0,0,0,0,,,,,,,,f,strict_14_with_grace_period,1,,1250
female,2012-03-01,,,f,1.0,f,Bryker Woods,House,Entire home/apt,5,1.0,3.0,2.0,Real Bed,$0.00,1,1125,0,0,0,0,0,,,,,,,,f,flexible,1,,750
mostly_female,2015-03-06,,,f,1.0,t,East Riverside,Apartment,Entire home/apt,4,1.5,2.0,2.0,Real Bed,$0.00,1,1125,30,60,90,365,0,,,,,,,,f,flexible,1,,650
female,2012-10-03,,,f,1.0,t,West Congress,House,Private room,4,1.0,1.0,2.0,Real Bed,$10.00,1,4,0,0,0,0,0,,,,,,,,f,moderate,1,,75
male,2013-05-20,within an hour,100%,t,5.0,t,East Downtown,House,Private room,4,1.0,1.0,2.0,Real Bed,$20.00,3,1125,10,27,27,27,156,97.0,10.0,10.0,10.0,10.0,10.0,10.0,t,flexible,5,3.35,65
female,2014-12-25,within a few hours,100%,t,2.0,t,St. Edwards,House,Private room,3,2.0,2.0,2.0,Real Bed,$0.00,1,5,10,27,50,311,0,,,,,,,,f,moderate,2,,175
male,2015-03-06,,,f,1.0,f,University of Texas,Apartment,Entire home/apt,12,4.0,5.0,5.0,Real Bed,$0.00,3,1125,0,0,0,0,0,,,,,,,,f,moderate,1,,800
male,2015-03-07,,,f,1.0,t,West Campus,Apartment,Entire home/apt,5,2.0,2.0,3.0,Real Bed,$0.00,1,1125,0,0,0,0,1,80.0,4.0,6.0,8.0,8.0,6.0,6.0,f,flexible,1,0.02,500
male,2015-01-11,,,f,1.0,t,East Congress,House,Private room,2,1.0,1.0,1.0,Real Bed,$0.00,20,90,0,0,0,0,9,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,flexible,1,0.23,25
male,2015-03-07,,,f,1.0,f,University of Texas,Apartment,Entire home/apt,6,1.0,2.0,3.0,Real Bed,$0.00,1,1125,0,0,0,0,0,,,,,,,,t,flexible,1,,350
female,2014-07-03,,,f,1.0,f,East Downtown,House,Entire home/apt,16,1.0,1.0,1.0,Couch,$0.00,1,14,0,0,0,0,0,,,,,,,,t,strict_14_with_grace_period,1,,1800
female,2013-02-07,,,f,1.0,t,South Congress,Apartment,Entire home/apt,6,2.0,3.0,3.0,Real Bed,$25.00,3,1125,0,0,0,0,0,,,,,,,,f,flexible,1,,600
male,2015-03-07,,,f,1.0,t,University of Texas,Apartment,Entire home/apt,2,2.0,2.0,2.0,Real Bed,$0.00,2,1125,0,0,0,0,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,1,0.02,225
female,2015-03-08,,,f,1.0,t,Mueller,House,Private room,2,1.0,1.0,1.0,Real Bed,$25.00,1,1125,0,0,0,0,1,80.0,10.0,8.0,10.0,10.0,8.0,8.0,f,flexible,1,0.02,80
male,2015-03-08,,,f,2.0,f,Hancock,House,Entire home/apt,5,2.0,3.0,4.0,Real Bed,$0.00,1,1125,0,0,0,0,0,,,,,,,,f,flexible,1,,800
male,2014-03-15,,,f,1.0,f,Zilker,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,$0.00,1,1125,0,0,0,0,0,,,,,,,,f,flexible,1,,500
male,2014-07-16,,,f,1.0,t,University of Texas,Apartment,Entire home/apt,5,2.0,2.0,3.0,Real Bed,$0.00,1,1125,0,0,0,0,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,flexible,1,0.04,230
female,2015-03-08,,,f,1.0,t,Old West Austin,House,Private room,1,1.0,1.0,1.0,Pull-out Sofa,$0.00,1,1125,0,0,0,0,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,flexible,1,0.04,140
female,2012-01-25,within an hour,100%,t,3.0,t,Steiner Ranch,Guest suite,Entire home/apt,3,1.0,1.0,1.0,Real Bed,$35.00,2,60,3,3,15,149,22,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,3,0.46,95
female,2015-03-08,,,f,1.0,t,Allendale,House,Entire home/apt,6,2.0,3.0,3.0,Real Bed,$0.00,2,7,0,0,0,0,1,,,,,,,,f,moderate,1,0.03,200
mostly_male,2015-03-08,,,f,1.0,f,Pecan Spings,House,Entire home/apt,6,2.0,3.0,3.0,Real Bed,$0.00,5,1125,0,0,0,0,0,,,,,,,,f,flexible,1,,400
male,2015-03-08,,,f,1.0,f,East Downtown,House,Private room,2,1.0,1.0,1.0,Real Bed,$100.00,1,1125,0,0,0,0,0,,,,,,,,f,flexible,1,,425
male,2015-03-08,,,f,1.0,f,University of Texas,Apartment,Entire home/apt,10,2.0,4.0,4.0,Real Bed,$0.00,2,1125,0,0,0,0,0,,,,,,,,f,moderate,1,,850
male,2015-03-08,,,f,1.0,f,University of Texas,Apartment,Entire home/apt,3,2.0,2.0,3.0,Real Bed,$100.00,1,1125,0,0,0,0,0,,,,,,,,f,flexible,1,,400
male,2013-12-31,,,f,1.0,t,West Congress,Apartment,Entire home/apt,2,1.5,1.0,1.0,Real Bed,$0.00,1,1125,0,0,0,0,0,,,,,,,,f,flexible,1,,400
male,2012-09-30,within an hour,100%,t,4.0,t,East Downtown,House,Entire home/apt,3,1.0,1.0,1.0,Real Bed,$0.00,2,60,6,22,50,50,384,98.0,10.0,10.0,10.0,10.0,10.0,10.0,t,moderate,3,8.16,125
female,2015-03-09,,,f,1.0,t,Pecan Spings,Bed and breakfast,Private room,2,0.5,1.0,1.0,Futon,$20.00,1,1125,0,0,0,34,18,100.0,10.0,10.0,10.0,10.0,9.0,10.0,f,moderate,1,0.4,30
male,2015-03-09,within a day,100%,f,1.0,t,Anderson Mill,House,Entire home/apt,6,2.0,3.0,5.0,Real Bed,$0.00,15,1125,1,2,2,275,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,1,0.25,125
female,2014-02-23,,,f,1.0,t,Hyde Park,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,$0.00,1,1125,0,0,0,0,1,100.0,10.0,8.0,10.0,10.0,8.0,8.0,f,flexible,1,0.02,125
unknown,2011-08-10,,,f,1.0,t,Windsor Park,House,Private room,2,1.0,1.0,1.0,Real Bed,$25.00,3,31,0,0,0,0,7,94.0,10.0,9.0,10.0,10.0,9.0,9.0,f,strict_14_with_grace_period,1,0.15,50
female,2013-06-01,,,f,1.0,t,Govalle,House,Private room,2,1.0,1.0,1.0,Real Bed,$0.00,2,1125,0,0,0,0,4,85.0,9.0,8.0,10.0,10.0,10.0,9.0,f,moderate,1,0.08,80
male,2015-03-09,,,f,1.0,t,West Campus,Apartment,Entire home/apt,6,2.0,2.0,2.0,Real Bed,$0.00,1,1125,0,0,0,0,3,93.0,10.0,9.0,10.0,10.0,10.0,9.0,f,flexible,1,0.07,80
male,2013-03-18,,,f,1.0,t,South Lamar,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,$0.00,3,50,0,0,0,0,0,,,,,,,,f,strict_14_with_grace_period,1,,250
male,2012-02-16,,,f,1.0,t,Rosewood,House,Entire home/apt,4,2.0,3.0,2.0,Real Bed,$0.00,3,1125,0,0,0,0,0,,,,,,,,f,strict_14_with_grace_period,1,,900
female,2012-01-25,within an hour,100%,t,3.0,t,Steiner Ranch,House,Private room,2,1.0,1.0,1.0,Real Bed,$25.00,2,30,1,7,32,307,57,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,3,1.18,85
female,2015-03-09,,,f,1.0,t,Wooten,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,$25.00,1,1125,0,0,0,0,0,,,,,,,,f,flexible,1,,115
male,2014-04-23,,,f,2.0,t,West Austin,House,Private room,4,1.0,1.0,2.0,Real Bed,$0.00,1,1125,0,0,0,0,0,,,,,,,,f,flexible,1,,300
male,2011-12-18,,,f,1.0,t,Parker Lane,Loft,Entire home/apt,4,1.0,0.0,2.0,Real Bed,$100.00,3,12,0,0,0,0,0,,,,,,,,f,flexible,1,,140
male,2015-03-10,,,f,1.0,f,East Riverside,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,$25.00,2,9,0,0,0,0,3,80.0,8.0,7.0,10.0,10.0,9.0,7.0,f,strict_14_with_grace_period,1,0.06,140
male,2011-05-11,within an hour,99%,f,25.0,t,Travis Heights,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,$0.00,2,1125,0,0,0,158,22,98.0,10.0,10.0,10.0,10.0,10.0,10.0,t,strict_14_with_grace_period,24,0.47,150
unknown,2015-03-10,within an hour,100%,f,2.0,f,Clarksville,House,Entire home/apt,3,1.0,1.0,1.0,Real Bed,$0.00,2,1125,29,59,89,364,4,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,2,0.1,185
female,2015-03-10,,,f,1.0,f,Downtown,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,$0.00,1,1125,30,60,90,365,0,,,,,,,,f,flexible,1,,900
mostly_male,2014-09-15,,,f,1.0,t,East Riverside,Apartment,Entire home/apt,1,1.0,1.0,1.0,Real Bed,$0.00,5,1125,0,0,0,0,0,,,,,,,,f,flexible,1,,125
mostly_male,2014-03-30,,,f,1.0,t,Travis Heights,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,$0.00,2,1125,0,0,0,0,2,100.0,9.0,10.0,10.0,10.0,10.0,10.0,f,flexible,1,0.04,375
mostly_male,2015-03-10,,,f,1.0,t,East Riverside,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,$0.00,2,25,0,0,0,0,9,96.0,10.0,10.0,10.0,10.0,10.0,9.0,f,flexible,1,0.19,140
female,2011-04-02,,,f,1.0,t,Upper Boggy Creek,House,Entire home/apt,5,1.0,2.0,3.0,Real Bed,$0.00,1,1125,0,0,0,0,0,,,,,,,,f,flexible,1,,425
male,2015-03-10,,,f,2.0,f,Dawson,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,$0.00,1,1125,0,0,0,0,0,,,,,,,,f,strict_14_with_grace_period,2,,200
female,2012-07-27,,,f,1.0,t,Upper Boggy Creek,House,Private room,2,1.0,1.0,1.0,Real Bed,$0.00,2,1125,0,0,0,0,0,,,,,,,,f,strict_14_with_grace_period,1,,140
male,2014-09-16,within an hour,100%,f,8.0,f,Barton Hills,House,Entire home/apt,8,1.5,2.0,4.0,Real Bed,$0.00,1,1125,9,26,41,278,330,90.0,9.0,9.0,10.0,10.0,10.0,9.0,t,strict_14_with_grace_period,7,6.79,130
male,2015-03-10,,,f,2.0,f,Bouldin Creek,House,Entire home/apt,6,1.0,3.0,3.0,Real Bed,$0.00,1,1125,0,0,0,0,0,,,,,,,,f,flexible,2,,500
mostly_male,2015-03-10,within an hour,100%,t,2.0,t,South Manchaca,House,Private room,2,1.0,1.0,1.0,Real Bed,$0.00,1,10,0,0,0,0,16,99.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,2,0.93,85
female,2015-03-05,within an hour,100%,f,1.0,t,East Downtown,House,Entire home/apt,5,2.0,3.0,3.0,Real Bed,$50.00,2,1125,6,31,59,59,52,100.0,10.0,10.0,10.0,10.0,9.0,10.0,f,moderate,1,1.07,350
unknown,2012-08-12,within an hour,100%,t,1.0,t,Hancock,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,$0.00,3,1125,6,6,6,6,42,98.0,10.0,9.0,10.0,10.0,10.0,10.0,t,strict_14_with_grace_period,1,0.87,85
male,2012-09-30,,,f,1.0,t,Hyde Park,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,$0.00,1,1125,0,0,0,0,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,flexible,1,0.02,90
female,2015-03-11,,,f,1.0,f,McKinney,House,Private room,2,1.0,1.0,1.0,Real Bed,$0.00,1,1125,0,0,0,0,0,,,,,,,,f,flexible,1,,200
male,2015-03-11,,,f,1.0,f,Zilker,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,$0.00,1,1125,30,60,90,365,0,,,,,,,,f,flexible,1,,450
male,2012-02-29,,,f,1.0,f,East Downtown,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,$50.00,3,1125,0,0,0,0,0,,,,,,,,f,flexible,1,,400
female,2015-03-11,,,f,1.0,t,Hancock,Condominium,Entire home/apt,5,2.5,2.0,2.0,Real Bed,$0.00,2,1125,0,0,0,0,3,87.0,9.0,7.0,10.0,10.0,9.0,9.0,f,moderate,1,0.08,300
female,2015-03-11,,,f,1.0,t,Barton Hills,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,$0.00,1,1125,0,0,0,0,0,,,,,,,,f,flexible,1,,250
male,2015-02-19,,,f,2.0,f,South Lamar,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,$50.00,1,1125,0,0,0,0,1,,,,,,,,f,strict_14_with_grace_period,2,0.02,70
male,2015-03-11,,,f,1.0,f,Hyde Park,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,$0.00,1,1125,0,0,0,0,2,90.0,8.0,9.0,7.0,9.0,9.0,8.0,t,flexible,1,0.04,80
male,2015-03-12,,,f,1.0,t,Gateway,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,$0.00,1,1125,0,0,0,0,0,,,,,,,,f,flexible,1,,400
unknown,2015-03-12,within a day,50%,f,2.0,t,Cherry Creek,House,Private room,2,1.5,1.0,1.0,Real Bed,$0.00,1,31,0,0,0,250,23,95.0,10.0,10.0,10.0,9.0,9.0,10.0,f,strict_14_with_grace_period,2,0.51,45
female,2012-02-29,,,f,2.0,t,East Riverside,Apartment,Entire home/apt,5,1.0,2.0,2.0,Real Bed,$0.00,1,1125,0,0,0,0,0,,,,,,,,f,flexible,2,,350
unknown,2015-03-11,,,f,1.0,f,Downtown,Other,Entire home/apt,4,1.0,1.0,2.0,Real Bed,$0.00,2,10,0,0,0,0,0,,,,,,,,f,flexible,1,,850
unknown,2012-04-07,within an hour,100%,f,1.0,f,MLK & 183,House,Private room,2,1.0,1.0,1.0,Real Bed,$0.00,1,30,3,9,32,32,7,97.0,10.0,9.0,10.0,10.0,9.0,10.0,f,strict_14_with_grace_period,1,0.14,40
female,2015-02-18,,,f,2.0,t,West Campus,Apartment,Private room,3,1.0,1.0,1.0,Futon,$0.00,1,1125,0,0,0,0,1,100.0,10.0,8.0,10.0,10.0,10.0,10.0,f,flexible,2,0.02,150
male,2015-03-10,,,f,2.0,f,Dawson,Apartment,Entire home/apt,3,1.0,0.0,1.0,Real Bed,$0.00,1,1125,0,0,0,0,0,,,,,,,,f,flexible,2,,200
female,2014-07-08,,,f,1.0,f,University of Texas,Apartment,Entire home/apt,3,1.0,0.0,1.0,Real Bed,$0.00,3,1125,0,0,0,0,0,,,,,,,,f,flexible,1,,275
female,2015-01-11,,,f,1.0,t,MLK & 183,House,Private room,2,2.0,1.0,1.0,Real Bed,$0.00,4,1125,0,0,0,0,0,,,,,,,,f,flexible,1,,75
male,2015-03-12,,,f,1.0,f,West Campus,Apartment,Entire home/apt,3,2.0,2.0,2.0,Real Bed,$0.00,1,1125,0,0,0,0,0,,,,,,,,f,flexible,1,,200
female,2015-03-12,,,f,1.0,t,Rosedale,Apartment,Entire home/apt,4,1.0,0.0,2.0,Real Bed,$25.00,1,1125,0,0,0,0,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,flexible,1,0.02,125
female,2014-10-14,,,f,1.0,t,Westlake Hills,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,$0.00,2,1125,0,0,0,0,0,,,,,,,,f,flexible,1,,300
male,2015-03-13,,,f,1.0,f,Northwest Hills,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,$0.00,1,1125,0,0,0,0,0,,,,,,,,f,flexible,1,,200
female,2012-08-06,,,f,2.0,t,North Loop,Apartment,Entire home/apt,5,1.0,2.0,2.0,Real Bed,$0.00,1,1125,0,0,0,0,0,,,,,,,,f,flexible,2,,200
female,2014-07-21,,,f,1.0,f,Galindo,Apartment,Entire home/apt,2,1.0,1.0,1.0,Airbed,$0.00,1,1125,0,0,0,0,0,,,,,,,,f,flexible,1,,30
mostly_male,2012-08-02,,,f,1.0,f,Dawson,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,$0.00,1,1125,0,0,0,0,0,,,,,,,,f,flexible,1,,500
female,2012-08-06,,,f,2.0,t,North Loop,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,$0.00,1,1125,0,0,0,0,0,,,,,,,,f,flexible,2,,150
male,2015-03-13,,,f,1.0,t,Long Canyon,Apartment,Entire home/apt,2,1.5,1.0,1.0,Real Bed,$0.00,1,1125,0,0,0,0,0,,,,,,,,f,flexible,1,,400
male,2012-11-28,within a day,100%,t,2.0,t,Mueller,House,Private room,2,1.0,1.0,1.0,Real Bed,$15.00,1,1125,17,47,77,348,16,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,2,0.35,85
male,2015-03-13,,,f,1.0,f,Windsor Park,House,Entire home/apt,8,2.0,3.0,2.0,Real Bed,$0.00,1,1125,0,0,0,0,0,,,,,,,,f,flexible,1,,2000
male,2015-03-13,,,f,1.0,t,East Riverside,Apartment,Shared room,3,2.0,1.0,3.0,Real Bed,$5.00,1,1125,0,0,0,0,3,93.0,10.0,9.0,10.0,10.0,9.0,9.0,f,flexible,1,0.06,75
female,2015-03-05,,,f,1.0,f,West Congress,House,Private room,1,1.0,1.0,1.0,Real Bed,$0.00,1,1125,0,0,0,0,1,100.0,10.0,10.0,10.0,10.0,8.0,10.0,f,flexible,1,0.02,100
unknown,2015-03-14,,,f,1.0,t,University of Texas,Apartment,Private room,2,0.5,1.0,1.0,Real Bed,$0.00,1,1125,0,0,0,0,0,,,,,,,,f,flexible,1,,200
male,2013-12-23,,,f,1.0,t,West Campus,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,$0.00,1,6,0,0,0,0,0,,,,,,,,f,flexible,1,,550
female,2011-12-29,,,f,1.0,t,Rollingwood,House,Entire home/apt,7,2.0,3.0,3.0,Real Bed,$50.00,30,1125,0,0,0,251,4,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,1,0.1,295
